"";"is_canceled";"lead_time";"children_babies";"booking_changes";"adr";"total_of_special_requests"
"51855";"1";1;0;0;134,1;1
"85582";"0";12;0;0;165,5;2
"17721";"1";5;1;0;36,25;2
"63559";"1";16;0;0;110;0
"2641";"0";54;0;0;38,47;0
"43797";"0";7;0;0;101;0
"34239";"0";172;0;0;102,38;1
"86548";"0";175;0;0;126,9;1
"84507";"0";42;0;0;142,2;2
"56209";"1";125;0;0;75;0
"84959";"0";183;0;0;117,11;1
"47127";"0";239;0;2;163,18;0
"31422";"0";0;0;0;80;0
"64401";"1";129;0;0;175,5;0
"79865";"0";0;0;0;95;0
"34330";"0";6;0;0;166,75;1
"10179";"1";75;2;0;175;0
"77635";"0";53;0;0;150,45;2
"100280";"0";53;0;0;140;1
"27270";"1";342;0;0;37,8;1
"87389";"0";0;0;1;190,8;2
"62537";"1";45;0;0;120;1
"102477";"0";136;0;0;118,75;0
"60366";"1";9;0;0;175,5;1
"77652";"0";104;0;0;126,9;1
"93717";"0";270;0;0;75,71;1
"5393";"0";246;0;0;115,67;0
"77649";"0";54;2;0;187,85;1
"61906";"1";20;0;0;178,2;0
"10713";"0";3;0;0;140;0
"30955";"0";12;0;2;60;0
"136";"0";2;0;0;167;1
"93684";"0";1;0;0;98;0
"33860";"0";0;0;4;55;0
"68460";"1";104;0;0;138;0
"92621";"0";16;0;0;75;0
"91125";"0";35;0;0;88;2
"68830";"1";17;0;0;96,3;5
"7527";"1";87;0;0;46;0
"27641";"1";151;0;0;36;0
"47702";"0";66;0;0;96;0
"86763";"0";148;0;0;132,3;3
"51516";"0";113;0;0;75;0
"103560";"0";19;2;0;270;0
"83700";"0";155;0;0;135,9;1
"74962";"0";43;0;2;94;0
"42844";"0";14;0;0;88;0
"95043";"0";30;0;1;90;0
"92427";"0";0;0;0;93;0
"46156";"0";13;0;0;62;0
"45882";"0";17;0;0;117;0
"100668";"0";133;1;1;99;1
"49246";"1";150;0;0;146,7;0
"55543";"1";99;0;0;104,55;0
"60089";"1";277;0;0;110;0
"96559";"0";89;0;0;135;0
"22062";"1";146;1;0;81,69;0
"7347";"1";107;0;0;57,6;0
"27153";"1";2;0;0;41,85;1
"78578";"0";55;0;2;140;0
"44133";"0";26;0;0;71,1;0
"94938";"0";51;0;0;54,71;1
"86021";"0";276;0;0;116,33;0
"10941";"1";33;1;0;293;0
"101773";"0";167;0;0;125,1;0
"85125";"0";10;0;0;89;2
"73702";"0";0;0;1;65;0
"72028";"0";39;0;0;59,75;0
"57625";"1";43;0;0;118;0
"16600";"0";3;0;0;50;0
"81637";"0";42;0;0;146;0
"92520";"0";1;0;0;158;1
"18865";"0";5;2;1;96;0
"88699";"0";53;0;0;88;1
"91986";"0";33;0;1;75;0
"18234";"1";34;0;0;45;1
"9144";"1";65;0;0;63,3;0
"97289";"0";207;0;0;117;2
"5009";"0";93;0;0;55;0
"69392";"1";21;0;0;70;0
"23019";"1";155;0;0;35;0
"92627";"0";42;0;0;90,1;1
"11583";"0";102;0;0;230;0
"4461";"0";11;0;1;30;0
"69708";"1";41;0;0;75;1
"49523";"1";151;0;1;86,75;1
"45032";"0";156;0;0;72;0
"56506";"1";148;0;0;97,5;2
"57243";"1";81;0;0;75;0
"18743";"0";29;0;0;58;1
"69252";"1";162;0;0;105,3;2
"68629";"1";462;0;0;145;2
"6581";"0";17;0;0;143,1;1
"54592";"1";93;0;0;86,4;0
"8946";"0";21;0;1;29;1
"23446";"1";239;0;0;149;1
"102351";"0";178;0;0;211,5;1
"87742";"0";44;0;0;143,44;2
"67857";"1";127;0;0;180;2
"58537";"1";77;0;0;120;0
"98134";"0";31;0;0;130;0
"100301";"0";247;0;0;99;2
"86651";"0";0;0;0;164,5;3
"62254";"1";59;0;0;110;1
"52890";"1";101;0;0;89;0
"71074";"0";5;0;0;78,2;0
"8258";"0";40;0;0;88,4;0
"60175";"1";277;0;0;108;1
"12146";"0";140;0;0;42;0
"100583";"0";78;0;0;89,1;0
"71843";"1";302;0;0;71,33;1
"50373";"1";16;0;1;90,25;0
"48365";"0";12;0;0;159,3;0
"93071";"0";15;0;3;223;1
"62571";"1";24;0;0;126;1
"20366";"1";53;0;0;95;1
"92517";"0";8;0;1;75;0
"57627";"1";422;0;1;91,6;1
"45266";"0";71;0;0;148,5;0
"53564";"1";158;0;0;153;2
"17389";"0";12;0;0;38;0
"25311";"1";280;0;1;61,4;0
"59884";"1";304;0;0;99;0
"98909";"0";4;0;0;144;0
"100966";"0";8;0;1;170;1
"100079";"0";50;0;2;150;1
"1406";"0";68;0;0;113,55;3
"77464";"0";0;0;0;88;0
"64886";"1";83;0;0;125;0
"101219";"0";56;0;0;133,33;1
"95989";"0";186;2;0;196;1
"95893";"0";1;0;0;150;1
"52227";"0";265;0;0;85;0
"103877";"0";22;0;0;149,5;1
"96429";"0";2;0;0;79,7;0
"73734";"0";27;0;0;57;0
"22331";"1";62;0;6;166;0
"71663";"0";38;0;0;58;1
"58682";"1";18;0;0;85;0
"99903";"0";364;0;0;75;0
"60618";"1";104;0;0;95;0
"18668";"1";68;0;0;51;0
"78398";"0";10;0;0;73;0
"75076";"0";5;0;0;86;1
"77753";"0";52;0;0;89,75;0
"15870";"0";5;0;0;40;0
"11497";"0";102;2;0;298;1
"26202";"1";103;0;0;67,99;0
"73342";"0";6;3;0;227;3
"61398";"1";266;0;0;162;2
"60421";"1";496;0;0;175,05;0
"2403";"0";39;0;0;96;0
"87738";"0";50;0;0;149;0
"23714";"0";335;0;1;227;2
"74798";"0";69;0;0;83,3;1
"90386";"0";9;0;1;88;2
"84030";"0";46;0;0;85,5;0
"21988";"1";240;0;0;46;0
"35187";"0";173;0;0;101,95;0
"16489";"0";224;0;0;36;0
"63160";"1";61;0;0;156,6;0
"18638";"0";0;0;0;56;0
"58028";"0";418;0;1;106,2;4
"43354";"0";41;0;0;69,5;1
"92034";"0";14;0;2;124;1
"54182";"0";190;0;0;89;0
"70022";"1";112;0;0;79;0
"10756";"0";48;0;0;110;0
"26991";"1";140;0;0;68,43;2
"36165";"0";22;0;1;132,85;0
"92630";"0";0;0;0;44;1
"25715";"1";39;0;0;37,4;1
"45522";"0";179;0;0;105,3;2
"83702";"0";6;0;0;129;2
"67559";"1";30;0;0;90;0
"33568";"0";109;0;0;75;0
"53764";"1";30;0;0;62;0
"25753";"1";28;0;0;88,14;3
"98553";"0";1;0;1;99;0
"62229";"1";59;0;0;153;1
"17336";"0";11;0;0;38;0
"96709";"0";31;0;1;75;1
"17299";"0";11;0;0;56,1;0
"21485";"1";213;1;1;141;0
"47769";"0";66;0;0;120;0
"82415";"0";41;0;0;87,2;0
"45200";"0";168;0;0;62;0
"74462";"0";42;0;1;46,67;0
"68071";"1";303;0;0;96;0
"29935";"0";228;0;0;55;1
"88924";"0";119;0;0;161,5;1
"20103";"1";9;0;0;58,93;0
"55972";"1";208;0;0;70,67;1
"9267";"0";55;0;0;54;2
"55445";"1";372;0;0;79,2;0
"76732";"0";9;0;0;126,6;2
"29800";"0";0;2;1;95,33;4
"94525";"0";70;0;2;100,3;1
"47913";"0";99;0;0;62;0
"69183";"1";207;2;1;159,3;1
"93433";"0";27;0;0;63,42;0
"29782";"0";0;0;0;71;0
"57922";"0";271;0;0;65;0
"10860";"1";89;0;0;105,47;2
"58749";"1";279;0;0;85;0
"31111";"0";3;0;0;60;2
"58261";"1";179;0;0;97,2;0
"102458";"0";179;0;0;93,6;1
"25668";"1";33;0;0;72;0
"40950";"0";16;0;0;100;0
"56171";"1";167;0;0;75;0
"25901";"1";194;0;0;87;0
"27163";"1";462;0;0;52,4;1
"94812";"0";18;0;0;95;0
"18945";"0";6;0;0;35;0
"4766";"0";199;0;0;46;0
"8909";"0";13;0;0;92;1
"40206";"0";3;0;0;101,5;0
"100788";"0";100;0;2;108;1
"224";"0";100;0;0;100,1;2
"58769";"1";279;0;1;119,68;1
"27620";"1";146;0;0;58,65;0
"31958";"0";42;0;2;5,25;0
"73104";"0";13;0;0;46,4;0
"15972";"0";7;0;0;28,1;0
"56624";"1";50;1;0;103,7;1
"64920";"1";42;0;2;119,44;0
"51394";"1";93;1;1;126;1
"69580";"1";243;0;0;96,3;3
"57934";"1";59;0;0;132,18;0
"24176";"1";393;0;0;115,05;0
"38469";"0";234;2;0;153;1
"54836";"1";33;0;0;90;0
"65482";"1";24;0;0;62;0
"8918";"0";7;0;1;35;0
"60985";"1";79;0;0;139,5;0
"41212";"0";14;0;0;89,25;1
"29436";"0";1;0;1;55;0
"53865";"1";148;0;0;110;0
"9377";"0";13;0;1;80;0
"74149";"0";16;0;0;75;0
"103755";"0";163;2;0;240;1
"5197";"0";0;0;3;60;0
"69831";"1";255;0;0;75,81;1
"61006";"1";20;0;0;89,1;0
"78701";"0";1;0;0;80,75;0
"87256";"0";4;0;0;67;1
"75319";"0";62;0;0;90,95;1
"46876";"0";11;0;0;95;0
"88263";"0";6;0;0;110;0
"59470";"1";254;0;0;104,4;0
"37080";"0";1;2;0;222,86;1
"6491";"1";8;0;0;201,86;0
"58321";"1";180;0;0;114;0
"62242";"1";59;0;0;115;0
"52638";"1";60;0;0;120;0
"89030";"0";17;0;0;123,2;1
"5998";"0";4;0;0;233;1
"101160";"0";102;0;0;108;1
"72704";"0";57;0;0;65;1
"2356";"1";3;0;0;36;0
"50705";"1";46;0;1;103,5;0
"25568";"1";125;0;1;76;1
"89818";"0";17;0;0;78,3;2
"84114";"0";53;0;0;85,5;2
"60332";"1";166;0;0;120;0
"3822";"0";33;0;0;107;0
"21957";"1";41;0;0;52,56;0
"17961";"1";72;0;0;81;0
"98527";"0";23;0;0;167,5;2
"95101";"0";79;0;0;106,2;1
"63483";"1";93;0;0;143,1;0
"36179";"0";101;0;0;316,5;4
"83867";"0";4;1;2;94,56;0
"58786";"1";105;0;0;126;0
"73541";"0";0;0;1;70;0
"47105";"0";137;0;0;112;1
"8143";"0";39;0;0;57,5;2
"55297";"1";115;0;0;66,3;0
"57853";"1";136;0;0;97,2;0
"64704";"1";191;0;0;195;1
"38781";"0";297;0;0;62;0
"13206";"1";330;0;0;30;0
"14941";"0";264;0;0;120;0
"3914";"0";102;0;1;72;0
"46239";"0";11;0;0;95;1
"75039";"0";1;0;0;69,5;0
"78607";"0";5;0;0;87,78;1
"18532";"0";8;0;1;30;0
"80356";"0";119;0;0;127;0
"16895";"0";12;0;1;38;3
"5719";"0";4;3;0;151,8;0
"36343";"0";170;0;2;196;2
"88150";"0";66;0;0;102,86;2
"29270";"1";262;0;0;92,25;1
"64253";"1";138;0;0;184,5;0
"53778";"1";27;0;0;80,75;0
"70574";"1";173;0;0;125;0
"46589";"0";264;2;0;177,3;0
"100843";"0";132;0;0;89,1;2
"68326";"1";29;0;0;65;1
"95226";"0";4;0;0;85;0
"72115";"0";0;0;0;65;0
"59558";"1";286;0;0;123,84;0
"26911";"1";183;0;0;52,4;0
"14507";"1";330;0;0;77,58;0
"69092";"1";185;0;0;85,5;2
"29014";"1";257;0;0;35;0
"99721";"0";15;0;0;167;1
"34196";"0";9;0;0;75;0
"26536";"1";249;0;0;75,76;1
"25463";"1";5;0;0;80;1
"15415";"1";342;0;0;30;0
"72314";"0";8;0;0;93;0
"71711";"1";99;0;2;120;0
"14359";"1";281;0;0;81;0
"15233";"1";3;0;1;44,5;0
"90015";"0";19;0;0;65;0
"7491";"0";16;2;0;126,4;0
"12418";"0";84;0;0;134;2
"32815";"1";0;0;0;80;1
"11935";"0";72;0;1;251;0
"18483";"0";5;0;0;45;0
"90514";"0";122;0;2;68;0
"35792";"0";159;0;0;159,35;1
"99255";"0";3;0;0;165;0
"64187";"1";131;0;0;112,67;0
"91286";"0";3;0;0;110,5;1
"15099";"1";414;0;4;45;0
"70040";"1";131;0;0;90,95;1
"76992";"0";30;0;0;89,25;2
"38988";"0";121;0;0;90;0
"38203";"0";205;0;0;101,5;0
"29059";"1";190;0;0;48;1
"47535";"0";3;0;0;62;0
"54447";"1";101;0;0;107,1;1
"94334";"0";2;0;0;128;0
"36274";"0";191;2;0;223,07;1
"71641";"1";272;0;0;80;0
"58146";"1";447;0;0;91,8;0
"4414";"0";74;0;0;84;0
"99694";"0";47;0;0;210;0
"12601";"0";110;0;0;87;0
"74469";"0";7;0;0;71,1;0
"57151";"1";420;0;0;95,4;2
"2309";"0";60;0;0;67,56;0
"16245";"0";17;0;1;38;0
"94933";"0";67;0;0;102;0
"39885";"0";123;0;0;62;0
"35328";"0";142;0;0;118;1
"17074";"0";5;0;1;61;1
"16594";"0";4;0;0;77,01;1
"38356";"0";180;0;0;62;0
"89985";"0";30;0;0;98;0
"83567";"0";6;0;0;113,4;0
"10412";"1";87;2;0;196;0
"81861";"0";64;0;1;119;0
"25965";"1";6;0;1;44;0
"74893";"0";29;0;0;108,45;0
"50440";"0";63;1;0;130,5;0
"67943";"1";191;0;2;170;0
"29374";"0";131;0;0;35;0
"4999";"0";254;0;0;55;0
"87098";"0";59;0;0;108;2
"89299";"0";26;0;0;94,35;1
"27806";"1";326;0;0;48;1
"77023";"0";107;0;0;129;1
"66615";"1";26;0;0;120;0
"5323";"0";74;0;0;97,3;0
"66210";"1";316;0;0;60;0
"42018";"0";2;0;1;45,87;0
"19084";"0";14;0;0;42,5;0
"54082";"1";213;0;0;90;2
"27415";"1";323;0;0;83,71;1
"64370";"1";149;0;0;112,5;2
"72073";"0";50;0;0;52;1
"32161";"0";3;0;0;102;1
"52485";"1";69;0;1;149,4;1
"71976";"0";0;0;0;103,2;1
"69102";"1";229;0;0;69,3;0
"81924";"0";144;0;1;180;0
"76755";"0";12;0;0;75;0
"99216";"0";122;0;0;109;1
"19345";"0";2;0;0;78;0
"19239";"0";20;0;0;45,65;1
"5237";"0";167;0;0;66,63;1
"78907";"0";10;0;0;117;2
