"";"is_canceled";"lead_time";"children_babies";"booking_changes";"adr";"total_of_special_requests"
"518";"0";4;0;0;154,5;2
"520";"0";44;0;0;92;0
"521";"1";37;0;0;154;0
"523";"1";38;0;0;110,53;0
"525";"0";41;2;0;131,37;1
"527";"0";104;0;0;123;1
"528";"0";117;0;1;117,84;2
"529";"1";31;0;0;154;0
"530";"0";34;0;0;116,85;0
"532";"1";24;2;0;214;0
"533";"1";104;0;0;115;2
"535";"1";47;2;0;195;0
"538";"0";123;1;2;130,5;1
"540";"1";118;2;0;179,1;2
"543";"0";79;1;0;115;3
"546";"0";96;0;0;157;0
"548";"0";46;0;0;111,65;0
"550";"0";41;0;0;104;0
"551";"1";69;0;0;135;0
"552";"1";41;2;0;214;1
"554";"1";41;0;1;141,33;1
"555";"0";89;0;0;121,01;1
"560";"0";62;0;1;167;1
"561";"1";86;1;1;172,93;1
"564";"1";52;0;0;92;0
"565";"1";49;0;0;111,2;0
"568";"1";7;0;0;200;0
"569";"1";42;0;0;157;0
"574";"0";8;0;1;207;0
"577";"0";102;0;0;95,57;1
"581";"0";0;0;0;153;0
"585";"1";44;2;0;195;1
"595";"0";33;0;0;184;1
"597";"1";19;0;0;139;0
"599";"1";72;0;0;145;0
"600";"1";19;0;0;173;0
"602";"0";9;0;0;164;2
"603";"0";8;0;0;173;2
"604";"1";36;0;0;112,5;0
"610";"1";67;0;0;135;1
"612";"0";1;0;2;222,67;0
"616";"0";14;0;0;149,7;1
"617";"1";53;0;0;161,25;0
"618";"0";28;0;0;107;0
"619";"0";55;0;0;75,44;1
"624";"0";25;0;0;154;2
"631";"0";40;0;0;107;0
"632";"0";11;0;0;117,81;0
"634";"1";39;0;0;120,6;0
"639";"0";12;0;0;153;1
"640";"0";51;0;0;118;0
"641";"0";67;0;1;134;1
"642";"0";52;0;0;135;2
"644";"0";94;0;0;134;1
"645";"1";54;0;0;134;0
"648";"0";43;0;0;134;0
"650";"0";54;0;0;147;0
"653";"1";96;0;0;166;1
"655";"0";75;0;1;167;1
"658";"0";61;0;0;233,05;0
"662";"1";31;0;0;154;1
"667";"1";299;1;0;149;1
"668";"0";50;0;0;195;0
"672";"0";47;0;0;103,5;0
"673";"0";48;0;0;115;3
"674";"1";54;1;0;95,02;2
"676";"0";73;0;0;209;1
"679";"0";130;0;0;174,01;1
"680";"1";39;0;0;133;1
"690";"0";51;0;0;115;0
"692";"1";41;0;0;120,6;0
"693";"0";6;0;5;162;2
"694";"0";27;0;0;153;0
"696";"0";30;0;0;134;1
"699";"0";31;0;0;145;0
"700";"1";74;0;0;107;1
"702";"1";87;0;0;134;2
"704";"1";41;0;0;164;0
"711";"1";298;0;0;183,45;1
"716";"1";101;0;0;134;2
"718";"0";76;0;0;102,72;1
"720";"0";70;1;0;114,85;1
"721";"0";68;0;0;135;1
"723";"1";11;0;0;173;0
"724";"0";32;0;0;107;1
"726";"0";47;0;0;164;2
"730";"0";49;0;0;103,18;1
"735";"0";30;0;0;146;2
"736";"1";29;0;0;165,4;1
"740";"0";37;0;0;157;1
"752";"1";15;0;1;173;3
"754";"1";0;0;0;114;0
"755";"1";8;0;0;153;1
"757";"0";3;1;0;250,33;2
"758";"1";30;0;0;146,67;2
"763";"1";62;0;0;154,5;0
"766";"0";77;0;2;160;3
"767";"0";75;0;0;125,89;1
"771";"0";0;2;0;188;0
"772";"1";25;0;0;153;2
"773";"1";16;0;0;173;3
"776";"0";4;0;0;192;2
"777";"1";25;0;0;153;0
"778";"1";83;0;0;120,6;1
"780";"1";56;0;0;120,6;0
"781";"1";32;0;0;164;2
"782";"0";32;2;0;219,5;0
"785";"1";23;0;0;111,92;0
"786";"1";39;0;0;120,6;1
"787";"1";18;0;0;173;3
"799";"1";80;0;1;134;2
"801";"1";24;2;1;233;1
"808";"1";82;2;0;222,14;0
"811";"1";130;0;0;120,6;2
"812";"1";91;1;1;144,53;3
"815";"0";66;0;2;193,13;0
"820";"0";11;0;0;172;0
"824";"0";115;0;0;195,5;1
"826";"0";67;0;0;163,5;1
"828";"0";34;0;3;174,76;1
"838";"0";83;0;0;162,14;1
"842";"1";61;0;0;153;0
"846";"1";36;0;0;221;0
"848";"0";13;1;1;230,5;2
"853";"0";140;0;0;90,95;0
"854";"0";6;0;0;188,29;2
"856";"0";81;0;1;187,8;1
"862";"1";114;0;0;149,4;0
"865";"0";139;0;0;172;1
"866";"1";57;0;0;183;0
"869";"0";84;1;1;168,71;3
"871";"1";69;0;1;112;0
"872";"0";2;0;0;172;0
"873";"1";118;0;0;120,6;0
"874";"0";129;0;0;126;1
"877";"0";65;0;1;149,2;0
"878";"0";7;0;1;217,2;4
"879";"1";28;0;0;239,3;1
"885";"0";1;0;0;114;0
"888";"1";45;0;0;173;0
"889";"0";6;0;0;211;1
"890";"0";4;0;0;191;3
"895";"1";46;0;0;153;0
"896";"1";122;0;0;186;1
"899";"1";43;0;0;202;0
"901";"0";116;2;0;133,5;2
"902";"1";113;0;0;154,38;1
"913";"0";3;0;0;211,75;3
"915";"1";137;0;0;108,54;1
"919";"1";54;0;0;200,71;0
"921";"1";60;2;0;135,2;0
"923";"1";54;0;0;228;0
"926";"1";106;0;0;119,7;1
"929";"1";91;0;0;134;1
"931";"0";61;0;0;165,69;0
"932";"0";0;0;0;195;0
"933";"0";5;0;0;127,31;0
"935";"1";9;1;0;207;2
"936";"1";10;0;0;211,5;1
"943";"1";122;0;0;166;2
"944";"1";41;0;0;202;2
"945";"1";41;0;0;172;2
"947";"0";59;0;0;104;0
"948";"0";72;0;0;133;1
"950";"0";81;0;0;130;0
"951";"1";72;0;0;154;0
"952";"0";68;0;0;106,4;0
"956";"0";68;1;0;254;1
"957";"1";47;0;0;192;1
"960";"0";30;0;0;211;0
"961";"1";139;0;0;147,6;1
"964";"0";35;0;0;147,07;1
"970";"0";62;2;0;233;0
"971";"1";95;0;0;190;0
"972";"1";101;1;0;196;2
"973";"1";38;0;0;185,57;2
"975";"0";76;0;0;169;1
"978";"1";87;0;1;134;0
"982";"1";120;0;0;112,5;1
"983";"1";116;0;0;164;0
"987";"1";78;0;0;214;0
"988";"1";117;0;0;186;1
"989";"0";70;0;0;154;0
"990";"1";85;0;0;162,3;3
"992";"1";34;0;0;274,93;2
"993";"0";68;0;0;156,73;0
"996";"1";102;0;0;134;1
"997";"0";31;0;0;211;1
"999";"0";84;1;1;142,26;1
"1000";"1";102;0;0;196;2
"1002";"1";80;0;0;98,02;0
"1003";"1";85;0;0;120,6;0
"1004";"1";33;0;0;191;0
"1009";"1";22;0;1;211;3
"1011";"1";68;0;0;173,5;0
"1014";"0";78;0;0;134;0
"1015";"1";85;0;0;120,6;0
"1017";"0";9;0;0;184,45;0
"1023";"1";8;0;0;178,33;2
"1024";"0";47;2;0;255;2
"1025";"0";135;0;0;196;1
"1028";"1";23;0;0;187,2;2
"1029";"0";87;0;1;154;2
"1031";"0";21;1;0;222,2;2
"1032";"0";19;1;0;243;2
"1041";"0";38;0;1;266,4;2
"1043";"1";34;2;1;271;0
"1044";"1";51;0;0;232;1
"1045";"0";38;0;0;223;1
"1046";"0";0;0;0;178,67;2
"1049";"0";7;0;0;167,25;0
"1052";"0";6;0;0;195,8;1
"1053";"1";64;0;0;229;1
"1056";"0";150;0;0;96,3;1
"1060";"0";68;0;0;157;1
"1062";"0";2;2;0;242,5;0
"1065";"1";80;0;0;183,45;1
"1072";"0";31;0;0;299,33;1
"1075";"1";72;0;0;149;0
"1078";"1";65;0;0;135;0
"1079";"0";89;1;0;145,75;1
"1080";"1";98;0;0;132,6;1
"1082";"1";67;0;1;198,71;0
"1083";"1";54;1;0;218;0
"1084";"0";75;0;0;101,65;0
"1086";"1";53;1;0;160;0
"1091";"0";37;0;0;172;0
"1092";"1";4;0;0;185;0
"1095";"0";2;0;0;153;1
"1099";"1";22;0;0;248;1
"1102";"1";55;1;1;223,99;3
"1105";"0";95;2;2;214;0
"1108";"1";122;0;0;134;1
"1109";"1";132;0;0;134;2
"1110";"0";58;0;0;183;0
"1116";"0";80;0;0;131,1;0
"1118";"1";157;1;0;187;2
"1119";"1";108;0;0;133;0
"1121";"0";79;0;0;133;0
"1124";"0";80;0;0;133;0
"1125";"1";93;1;0;134;2
"1127";"1";13;0;0;202;1
"1130";"0";13;0;0;172;0
"1133";"1";24;0;0;236;2
"1137";"0";126;0;0;96,3;1
"1139";"0";68;0;1;176,64;2
"1145";"0";1;0;3;153;2
"1146";"0";91;0;1;166;0
"1150";"0";61;0;0;220,4;2
"1152";"1";23;0;0;241;1
"1163";"1";56;0;0;222,07;0
"1164";"1";94;0;0;229;0
"1169";"0";16;0;0;163,35;1
"1171";"1";18;0;0;213,5;2
"1179";"0";51;0;1;183;1
"1181";"1";22;0;0;191;3
"1185";"1";63;0;0;123,04;0
"1186";"0";35;0;1;260,71;1
"1189";"1";71;0;0;118,7;0
"1190";"0";71;0;0;116,85;3
"1198";"0";46;0;0;149;1
"1202";"0";65;0;0;195,45;0
"1203";"1";68;0;0;133;0
"1205";"0";22;0;0;162,29;0
"1211";"1";80;0;0;151,89;2
"1213";"0";151;0;1;96,3;1
"1217";"1";44;0;0;151,95;1
"1220";"0";92;0;1;149,4;1
"1221";"0";6;0;0;201;0
"1223";"1";79;1;0;259;0
"1224";"1";41;0;0;164,4;0
"1227";"1";83;2;0;229;0
"1229";"0";69;0;0;112,5;1
"1230";"1";64;0;0;194;0
"1235";"0";62;0;0;101,65;0
"1242";"0";40;0;0;99,5;0
"1245";"0";0;0;0;153;0
"1247";"0";84;0;0;132,6;1
"1253";"0";76;0;2;164;1
"1257";"1";33;0;0;209,6;1
"1259";"1";61;0;1;150,83;1
"1260";"1";89;0;0;129,27;1
"1266";"1";71;0;0;154;0
"1267";"1";49;0;0;219,33;2
"1272";"1";42;0;0;158,38;0
"1276";"1";73;0;0;120,6;1
"1277";"1";73;0;0;112,5;1
"1279";"0";0;2;0;193;0
"1281";"1";2;0;0;137,7;0
"1282";"0";0;0;0;112;0
"1293";"1";57;1;1;157,67;3
"1295";"1";41;0;0;112,34;0
"1306";"1";108;0;0;8;2
"1309";"1";108;0;0;118,29;1
"1310";"0";30;0;0;115;3
"1311";"1";164;0;0;110,7;0
"1315";"0";31;0;1;176;1
"1321";"0";32;0;0;122;1
"1322";"1";42;2;1;195;2
"1323";"0";30;0;1;184;0
"1324";"1";30;0;0;152;0
"1325";"0";10;0;0;127,67;1
"1331";"0";34;1;0;120,6;3
"1334";"0";106;0;0;166,5;1
"1338";"1";42;1;1;158;1
"1341";"0";21;0;0;175;1
"1343";"0";28;0;0;166,14;0
"1347";"0";66;0;0;97,5;0
"1348";"1";59;0;0;123,11;0
"1349";"0";28;0;0;104,8;0
"1350";"1";59;0;0;164;2
"1353";"0";47;0;0;103,18;1
"1355";"0";57;0;0;164;0
"1357";"0";4;0;0;77,5;0
"1367";"0";2;0;0;154;0
"1372";"0";103;0;0;71,72;0
"1375";"0";44;0;0;136,2;2
"1378";"1";72;0;0;157,67;0
"1380";"1";47;0;0;113,43;0
"1381";"1";104;0;0;161,29;1
"1393";"0";26;0;0;75,46;1
"1394";"1";0;0;0;96,33;1
"1395";"1";42;1;0;117,83;2
"1398";"0";26;2;3;155,5;0
"1400";"0";59;0;0;105,5;2
"1401";"1";159;0;0;101,44;0
"1408";"1";47;0;0;98;1
"1409";"0";48;0;0;151;0
"1411";"0";27;1;0;153;2
"1414";"1";132;0;0;123;1
"1415";"0";50;2;0;119;0
"1416";"0";122;0;0;155;2
"1417";"0";64;0;1;109;2
"1418";"0";48;0;2;158;0
"1420";"1";14;0;0;113;0
"1421";"0";5;0;0;113;0
"1424";"0";333;0;0;110,7;0
"1425";"0";27;0;0;101,03;0
"1426";"1";73;0;0;120,71;1
"1427";"0";123;0;1;82,72;1
"1428";"1";27;0;0;131;2
"1431";"1";97;0;0;136;0
"1435";"0";140;0;0;86,95;0
"1440";"1";1;0;2;146;0
"1443";"0";68;0;2;150,71;0
"1444";"1";4;0;0;57;0
"1447";"0";1;0;1;131,4;0
"1449";"0";154;0;0;88,2;0
"1452";"0";29;1;2;211;2
"1453";"0";154;0;1;80;0
"1454";"0";154;0;0;88,2;0
"1457";"0";29;0;0;109,5;1
"1458";"0";29;0;0;144,9;2
"1466";"0";56;0;0;79,5;1
"1467";"0";65;0;0;79,5;0
"1469";"0";163;0;0;91,46;1
"1471";"0";327;0;0;62,48;1
"1473";"1";1;0;0;117,9;0
"1475";"0";0;0;0;131;0
"1477";"0";88;0;1;167;0
"1481";"0";15;0;0;146;1
"1482";"1";29;0;0;79,5;0
"1483";"0";28;0;0;116,8;0
"1485";"0";28;0;0;79,5;0
"1491";"0";67;0;0;123;1
"1495";"0";150;0;0;183;0
"1497";"0";67;0;0;97,5;0
"1500";"0";68;0;0;123;2
"1502";"0";47;0;0;171;2
"1505";"0";26;0;0;156;0
"1509";"0";54;0;0;98;2
"1510";"1";74;0;0;113;0
"1513";"1";94;0;0;153;0
"1519";"1";50;0;0;123;0
"1521";"1";323;0;0;97,5;1
"1523";"0";103;0;0;83,7;1
"1524";"0";356;0;0;91,77;0
"1529";"0";25;0;0;114,5;1
"1533";"1";73;0;0;98;1
"1534";"1";26;1;0;198;2
"1535";"1";27;0;0;124,8;0
"1539";"1";60;0;0;146;0
"1541";"0";57;0;1;98;0
"1548";"0";94;0;0;79,5;0
"1550";"0";78;0;0;163;0
"1552";"0";128;0;0;97,5;0
"1561";"0";35;0;0;144,9;2
"1562";"0";4;0;1;161;0
"1565";"0";2;1;2;188;2
"1567";"1";105;0;0;98;0
"1568";"1";109;0;0;123;0
"1569";"1";40;0;0;117,29;2
"1570";"1";75;0;0;98;2
"1572";"1";144;0;0;75,96;0
"1577";"1";61;0;0;156;0
"1578";"1";12;0;0;98;1
"1580";"0";11;0;0;98;1
"1583";"0";175;0;0;91,5;0
"1587";"0";382;0;0;76,5;0
"1590";"0";28;0;0;80;0
"1591";"0";58;0;0;68,5;0
"1593";"1";20;0;0;124,8;0
"1598";"1";1;0;0;124,4;0
"1599";"0";130;0;1;65,7;2
"1600";"0";130;0;1;77,7;2
"1605";"1";159;0;0;82;1
"1616";"0";113;0;0;57,54;0
"1618";"0";0;0;0;131;2
"1620";"0";12;0;1;75,46;1
"1622";"0";12;1;0;75,46;2
"1623";"1";56;2;0;208;2
"1627";"0";97;0;0;83,5;0
"1635";"0";2;0;0;112,42;1
"1640";"0";3;0;0;134;0
"1647";"0";1;0;0;135;1
"1648";"0";8;0;0;111,2;2
"1651";"0";11;0;0;77,11;0
"1652";"1";148;0;0;97,99;0
"1657";"1";172;0;0;36;0
"1658";"1";171;0;2;59,13;1
"1661";"1";121;0;0;82;2
"1663";"0";96;0;0;95,86;0
"1666";"0";2;0;0;131,14;0
"1670";"1";127;0;0;110,7;0
"1671";"1";149;0;1;73,8;1
"1673";"1";12;0;0;110,75;0
"1674";"1";178;0;0;91;1
"1676";"0";26;0;0;132,6;2
"1678";"1";10;0;0;138,6;0
"1683";"0";172;0;0;53,1;1
"1686";"0";173;0;0;66,15;0
"1688";"0";118;0;0;73,5;0
"1689";"0";156;0;0;58,5;0
"1691";"1";17;0;0;120;2
"1695";"1";108;0;0;77,2;0
"1696";"0";25;0;0;160,8;2
"1698";"0";11;0;0;100,5;1
"1700";"0";83;0;0;95;1
"1701";"0";84;0;1;103,51;0
"1707";"0";99;0;0;55,79;0
"1708";"1";81;0;0;103,8;1
"1709";"0";152;0;0;99;0
"1715";"0";119;0;0;71,66;0
"1716";"0";1;0;0;74;1
"1724";"0";6;0;1;55;0
"1726";"0";42;0;0;86;1
"1734";"0";104;0;0;66,6;0
"1735";"0";1;0;0;150,25;0
"1746";"0";50;0;0;111;2
"1747";"0";0;0;1;106,2;0
"1750";"0";138;0;0;74;2
"1751";"1";89;0;0;89;2
"1754";"1";76;0;0;84,71;1
"1756";"1";35;0;0;114;0
"1758";"0";66;0;0;109,71;2
"1762";"0";7;0;0;120;1
"1763";"0";7;0;0;114;1
"1765";"1";101;0;0;83;0
"1766";"0";48;0;1;113;0
"1767";"0";99;0;0;81,2;0
"1770";"0";71;1;1;99,5;2
"1771";"1";102;0;0;99;0
"1773";"0";119;0;0;85;0
"1774";"1";77;0;0;87,33;1
"1775";"0";79;0;0;75,1;0
"1776";"0";4;0;0;59;0
"1781";"0";33;0;0;152;1
"1784";"0";99;0;0;69,83;0
"1785";"0";85;0;0;102,93;0
"1786";"0";110;0;0;65,1;0
"1788";"0";33;0;0;124,74;2
"1791";"0";35;0;0;104;1
"1792";"0";87;0;0;59,2;2
"1793";"0";128;0;1;138,29;2
"1794";"1";92;2;0;125,71;0
"1795";"1";114;0;0;66,6;0
"1800";"0";86;0;0;74,93;0
"1801";"0";103;0;0;58,98;0
"1803";"1";4;0;0;103,22;0
"1806";"0";93;0;0;55,64;1
"1807";"1";185;0;0;26;0
"1808";"1";34;0;0;64;0
"1809";"1";12;0;0;64;0
"1811";"1";33;0;0;90;0
"1814";"0";185;0;0;90;1
"1816";"0";111;0;1;89;1
"1818";"1";73;0;0;72;0
"1819";"1";61;0;0;89;1
"1820";"0";94;0;0;59,02;0
"1824";"0";124;0;0;53,69;0
"1831";"1";36;0;0;79;1
"1832";"1";159;0;0;74;2
"1833";"1";75;0;0;84,71;2
"1834";"0";158;0;0;75,43;3
"1839";"0";76;0;2;140,63;1
"1840";"1";183;0;3;73,5;0
"1845";"1";21;0;0;75,65;0
"1851";"1";68;0;0;114;1
"1856";"0";71;0;0;75,5;0
"1857";"0";36;0;0;89;3
"1858";"0";64;0;0;80,1;2
"1859";"0";29;0;0;97,2;0
"1863";"0";75;0;0;55,43;1
"1868";"0";0;0;0;80,1;0
"1869";"0";16;0;4;80;1
"1871";"0";0;0;0;89;0
"1875";"0";9;0;0;96,5;1
"1876";"0";8;0;1;142,5;1
"1878";"0";79;0;0;89;1
"1879";"1";67;0;0;109;2
"1881";"0";119;0;0;72,14;0
"1882";"0";51;0;0;90,49;1
"1888";"1";37;1;0;119;4
"1889";"0";10;0;0;104,72;0
"1890";"1";75;0;0;73,35;1
"1892";"1";61;0;0;79;0
"1895";"0";44;0;0;116;1
"1897";"0";64;0;0;73,5;1
"1899";"0";98;0;0;128,42;0
"1905";"0";32;0;0;94,5;0
"1911";"0";51;0;0;55,43;1
"1913";"0";47;0;0;90,74;0
"1914";"0";163;0;0;38,25;0
"1916";"1";55;0;0;74,2;0
"1918";"0";85;0;0;83,67;1
"1922";"1";80;0;0;63,14;1
"1923";"1";77;0;0;74,6;1
"1924";"0";69;0;0;60,5;2
"1939";"1";89;0;0;62;2
"1940";"1";57;0;0;54,4;1
"1945";"0";165;0;0;44,5;0
"1948";"0";81;0;0;81,75;3
"1950";"0";61;0;0;80,1;2
"1953";"0";0;0;0;90,1;0
"1958";"0";55;0;0;73;0
"1962";"1";142;0;0;79,83;1
"1968";"0";92;0;0;48;1
"1969";"0";97;0;0;62,43;2
"1970";"0";48;0;0;52,73;0
"1971";"0";58;0;0;44,27;1
"1972";"1";70;0;0;58,57;0
"1974";"0";0;0;0;120;2
"1975";"1";63;0;0;68,4;2
"1976";"0";44;1;0;118,5;2
"1977";"0";19;0;0;87;1
"1978";"0";57;0;0;48,3;2
"1982";"0";23;0;0;65;1
"1983";"0";79;0;0;66;0
"1984";"0";48;0;1;86;1
"1985";"0";51;1;0;74,4;0
"1986";"0";78;0;0;74,23;0
"1987";"0";24;0;0;103;1
"1996";"1";103;0;0;50,4;0
"1998";"0";113;0;0;76;0
"2002";"1";29;1;1;117;0
"2003";"1";115;2;0;106;0
"2004";"0";73;0;0;47;0
"2005";"0";115;0;1;56;1
"2008";"0";56;0;0;77;0
"2010";"0";20;0;0;44,5;0
"2011";"0";53;0;0;59,4;1
"2019";"0";0;0;0;74;0
"2021";"0";114;0;0;42,3;0
"2024";"0";1;0;0;110;0
"2025";"1";4;0;0;58;1
"2028";"0";192;0;0;38,07;0
"2033";"1";21;0;0;77;0
"2036";"0";61;0;0;86;1
"2039";"0";46;0;0;44,8;0
"2040";"0";38;0;0;93,43;0
"2041";"0";53;0;0;47,33;0
"2045";"0";25;0;0;68,16;1
"2047";"0";53;0;0;56;2
"2049";"0";163;0;1;51,3;1
"2050";"0";2;0;0;92,6;0
"2052";"0";0;0;0;56;0
"2057";"0";26;0;0;68,43;1
"2062";"0";69;0;0;40,05;1
"2066";"0";18;0;0;63,47;1
"2069";"0";69;0;0;88;1
"2072";"0";55;0;0;54,5;0
"2073";"0";10;1;0;67;2
"2074";"0";52;0;0;54,72;0
"2075";"0";14;1;1;83,6;2
"2077";"1";74;0;0;86;2
"2079";"0";207;0;0;65,45;0
"2080";"1";102;0;0;71,67;0
"2081";"1";1;0;0;37;0
"2083";"1";43;0;1;52,2;0
"2089";"0";43;0;0;62,8;1
"2091";"0";31;2;0;96,67;0
"2099";"0";13;0;0;58;0
"2102";"0";21;0;1;47;1
"2109";"0";158;0;0;55,43;1
